Ticker,Nome,Ponderação,Ações,Preço,MainTicker,YFTicker,SetorEconomico,Industria,NomeCompletoParaAuditoria,Pais,Moeda
SK FP Equity,SEB SA,0.003495,29.287,95.1,SK,SWKS,Technology,Semiconductors,"Skyworks Solutions, Inc.",United States,USD
DYN UW Equity,Dyne Therapeutics Inc,0.003394,86.322,34.88,DYN,DYN,Healthcare,Biotechnology,"Dyne Therapeutics, Inc.",United States,USD
SITM UQ Equity,SiTime Corp,0.003349,17.728,167.59,SITM,SITM,Technology,Semiconductors,SiTime Corporation,United States,USD
CRVL UW Equity,CorVel Corp,0.003344,9.247,320.8,CRVL,CRVL,Financial Services,Insurance Brokers,CorVel Corp.,United States,USD
GNP IS Equity,Glenmark Pharmaceuticals Ltd,0.003158,138.607,1689.2,GNP,GNPX,Healthcare,Biotechnology,"Genprex, Inc.",United States,USD
SYNA UW Equity,Synaptics Inc,0.003156,38.718,72.3,SYNA,SYNA,Technology,Semiconductors,Synaptics Incorporated,United States,USD
RKLB UR Equity,Rocket Lab USA Inc,0.003152,324.35,8.62,RKLB,RKLB,Industrials,Aerospace & Defense,"Rocket Lab USA, Inc.",United States,USD
PTCT UW Equity,PTC Therapeutics Inc,0.003119,75.523,36.64,PTCT,PTCT,Healthcare,Biotechnology,"PTC Therapeutics, Inc.",United States,USD
TIT IM Equity,Telecom Italia SpA/Milano,0.003101,10184.897,0.2426,TIT,TTNP,Healthcare,Biotechnology,"Titan Pharmaceuticals, Inc.",United States,USD
AGIO UW Equity,Agios Pharmaceuticals Inc,0.00309,55.91,49.03,AGIO,AGIO,Healthcare,Biotechnology,"Agios Pharmaceuticals, Inc.",United States,USD
DIOD UW Equity,Diodes Inc,0.002937,44.425,58.65,DIOD,DIOD,Technology,Semiconductors,Diodes Incorporated,United States,USD
MTS AT Equity,Metcash Ltd,0.002882,1079.597,3.47,MTS,MTSI,Technology,Semiconductors,MACOM Technology Solutions Hold,United States,USD
MCY NZ Equity,Mercury NZ Ltd,0.002881,664.393,6.14,MCY,MCY,Financial Services,Insurance—Property & Casualty,Mercury General Corporation,United States,USD
PTGX UQ Equity,Protagonist Therapeutics Inc,0.00288,55.362,46.14,PTGX,PTGX,Healthcare,Biotechnology,"Protagonist Therapeutics, Inc.",United States,USD
GERN UW Equity,Geron Corp,0.002871,564.728,4.51,GERN,GERN,Healthcare,Biotechnology,Geron Corporation,United States,USD
VK FP Equity,Vallourec SACA,0.002861,168.486,13.53,VK,VKTX,Healthcare,Biotechnology,"Viking Therapeutics, Inc.",United States,USD
KYMR UQ Equity,Kymera Therapeutics Inc,0.002842,48.546,51.93,KYMR,KYMR,Healthcare,Biotechnology,"Kymera Therapeutics, Inc.",United States,USD
SRP LN Equity,Serco Group PLC,0.002808,1052.98,177.6,SRP,SRPT,Healthcare,Biotechnology,"Sarepta Therapeutics, Inc.",United States,USD
ALGM UW Equity,Allegro MicroSystems Inc,0.002748,107.161,22.75,ALGM,ALGM,Technology,Semiconductors,"Allegro MicroSystems, Inc.",United States,USD
